date	DIST	FI	MAC	ELS	MULT	mktrf	smb	hml	rmw	cma	rf
2009-11-30	533.54	210.9	659.42	472.24	339.7	5.56	-2.79	-0.17	0.72	0.16	0
2009-12-31	546.91	212.5	650	480.23	343.7	2.75	6.27	0.01	0.73	-0.08	0.01
2010-01-31	557.97	216.79	656.95	473.03	345.64	-3.36	0.3	0.31	-1.32	0.44	0
2010-02-28	559.6	216.95	664.17	479.28	347.59	3.4	1.46	3.16	-0.46	1.4	0
2010-03-31	574.39	220.08	666.71	493.63	352.6	6.31	1.77	2.1	-0.62	1.71	0.01
2010-04-30	584.08	223.94	677.74	495.05	355.97	2	5.05	2.81	0.91	1.7	0.01
2010-05-31	569.45	222.17	673.49	474.61	348.18	-7.89	0.04	-2.38	1.08	-0.22	0.01
2010-06-30	563.19	224.22	677.29	464.78	345.35	-5.56	-2.51	-4.5	-0.18	-1.54	0.01
2010-07-31	569.38	226.92	681.7	476.53	351.1	6.93	0.07	-0.27	0.13	1.99	0.01
2010-08-31	565.72	229.74	691.8	471.2	351.14	-4.77	-3.13	-1.95	0.48	-1.7	0.01
2010-09-30	577.45	233.3	710.64	495.2	360.93	9.54	3.73	-3.12	-0.09	0.49	0.01
2010-10-31	585.07	235.87	722.14	505.12	368.24	3.88	0.79	-2.59	1.41	-0.22	0.01
2010-11-30	586.99	237.62	718.41	507.43	369.35	0.6	3.6	-0.9	0.3	1.63	0.01
2010-12-31	603.01	239.08	737.58	524.79	375.62	6.82	0.99	3.81	-3.53	3.22	0.01
2011-01-31	614.44	243.09	731.91	526.19	383.06	1.99	-2.41	0.81	-0.8	0.69	0.01
2011-02-28	619.71	245.36	741.28	535.24	388.38	3.49	1.64	1.09	-1.9	0.94	0.01
2011-03-31	619.08	244.6	742.41	536.76	391.46	0.45	2.66	-1.55	1.48	0	0.01
2011-04-30	626.12	246.86	760.7	545.89	394.8	2.9	-0.51	-2.51	1	-0.83	0
2011-05-31	626.17	247.39	755.94	536.73	394.62	-1.27	-0.69	-2.06	1.98	-1.49	0
2011-06-30	621.76	247.53	747.53	528.75	392.08	-1.75	0.09	-0.31	2.3	-1.46	0
2011-07-31	620.13	248.9	766.42	526.58	394.47	-2.36	-1.28	-1.23	2.6	-1.82	0
2011-08-31	592.8	248.22	781.05	503.18	386.84	-5.99	-3.21	-2.44	3.13	-0.21	0.01
2011-09-30	573.38	247.76	780.51	476.91	377.67	-7.59	-3.72	-1.46	2	0.24	0
2011-10-31	584.77	248.11	781.92	498.15	385.41	11.35	3.54	-0.17	-1.96	-0.87	0
2011-11-30	577.75	249.34	781.7	490.78	381.98	-0.28	-0.27	-0.35	1.7	1.53	0
2011-12-31	577.45	250.29	785.06	486.44	382.51	0.74	-0.45	1.74	0.89	2.39	0
2012-01-31	591.33	253.22	794.64	505.45	391.97	5.05	2.14	-1.09	-1.82	-1.4	0
2012-02-29	602.49	255.76	800.89	518.81	398.73	4.42	-1.62	0.09	-0.17	-0.06	0
2012-03-31	611.41	257.65	797.48	521.41	400.51	3.11	-0.46	0.87	-0.48	0.79	0
2012-04-30	612.26	259.43	795.5	518.99	402.84	-0.85	-0.58	-0.47	1.2	0.66	0
2012-05-31	604.64	260.05	797.05	495.5	398.13	-6.19	-0.08	-0.62	2.27	2.37	0.01
2012-06-30	603.27	262.02	786.12	497.21	400.05	3.89	0.95	0.44	-1.37	0.34	0
2012-07-31	608.99	266.27	802.96	499.94	405.18	0.79	-2.69	-0.25	0.77	0.12	0
2012-08-31	614.35	268.99	805.99	507.51	410.69	2.55	0.45	1.28	-1.34	-0.74	0.01
2012-09-30	625.27	272.37	810.82	515.48	413.98	2.73	0.69	1.52	-1.08	1.62	0.01
2012-10-31	631.68	274.74	804.9	514.41	415.4	-1.76	-0.81	3.79	-1.47	2.26	0.01
2012-11-30	633.32	276.05	810.7	518.16	419.56	0.78	0.32	-0.96	0.35	0.9	0.01
2012-12-31	645.39	277.93	821	526.36	425.31	1.18	1.91	3.55	-1.69	0.87	0.01
2013-01-31	656.28	280.87	828.24	545.01	434.11	5.57	0.52	0.92	-1.93	1.5	0
2013-02-28	663.09	282.24	830.68	545.66	435.78	1.29	-0.37	0	-0.59	0.46	0
2013-03-31	677.57	283.95	838.74	553.2	438.49	4.03	0.82	-0.26	0.3	1.35	0
2013-04-30	686.64	284.91	853.56	560.16	443.26	1.55	-2.3	0.59	0.18	0.44	0
2013-05-31	702.95	284.94	853.12	566.83	444.9	2.8	2.09	2.55	-1.69	-0.77	0
2013-06-30	696.88	281.69	831.95	563.28	441.61	-1.2	1.39	-0.19	-0.34	-0.06	0
2013-07-31	706.01	282.77	834.14	574.28	446.74	5.65	1.78	0.55	-1.55	0.54	0
2013-08-31	702.61	283.36	826.43	567.88	447.1	-2.71	0.01	-2.78	0.75	-2.16	0
2013-09-30	712.28	284.8	833.36	582.87	453.46	3.77	2.71	-1.18	-0.59	-1.29	0
2013-10-31	723.19	286.54	841.81	597.7	461.5	4.18	-1.48	1.15	2.92	0.91	0
2013-11-30	734.37	287.96	850.48	608.75	465.48	3.12	1.36	0.24	0.3	0.09	0
2013-12-31	748.63	288.48	856.49	619.71	473.09	2.81	-0.52	-0.3	-0.49	0.07	0
2014-01-31	751.63	291.36	847.46	619.23	476.9	-3.32	0.6	-2.08	-3.71	-1.35	0
2014-02-28	766.97	293.27	853.29	637.07	483.61	4.65	0.13	-0.39	-0.41	-0.44	0
2014-03-31	771.6	294.47	851.21	629.51	482.34	0.43	-1.18	5.09	1.99	1.9	0
2014-04-30	774.48	295.76	851.31	623.04	480.28	-0.19	-4.14	1.14	3.61	1.03	0
2014-05-31	785.72	297.1	860.02	632.42	484.57	2.06	-1.84	-0.26	0.33	-1.08	0
2014-06-30	796.8	298.28	864.56	638.79	486.75	2.61	3.08	-0.74	-1.9	-1.95	0
2014-07-31	795.28	299.16	864.47	632.62	487.4	-2.04	-4.25	0.01	1.01	0.48	0
2014-08-31	791.45	299.7	874.28	640.81	491.45	4.24	0.3	-0.57	-0.5	-0.65	0
2014-09-30	785.88	300.96	879.02	639.67	496.28	-1.97	-3.78	-1.22	0.96	-0.53	0
2014-10-31	770.44	300.67	870.97	639.71	493.85	2.52	3.78	-1.69	-0.65	-0.14	0
2014-11-30	771.52	301.29	885.36	651.78	499.86	2.55	-2.26	-2.99	1.45	0.2	0
2014-12-31	767.72	301.09	883.12	654.08	501.9	-0.06	2.84	2.07	-1.38	0.89	0
2015-01-31	759.68	298.66	906.87	655.94	507.86	-3.11	-0.86	-3.47	1.54	-1.68	0
2015-02-28	769	300.88	910.69	668.97	511.51	6.13	0.24	-1.77	-1.09	-1.69	0
2015-03-31	769.71	300.65	922.56	666.13	516.89	-1.12	3.08	-0.45	0.11	-0.53	0
2015-04-30	774.06	302.54	915.65	666.03	516.94	0.59	-3.02	1.85	0.03	-0.54	0
2015-05-31	776.43	303.99	922.18	680.34	520.31	1.36	0.82	-1.33	-1.83	-0.7	0
2015-06-30	766.99	303.35	905.97	677.2	518.15	-1.53	2.83	-0.81	0.37	-1.5	0
2015-07-31	761.35	304.26	917.43	687.49	523.33	1.54	-4.57	-4.14	-0.3	-2.61	0
2015-08-31	750.36	304.15	893.28	674.34	520.78	-6.04	0.4	2.69	0.63	1.25	0
2015-09-30	740.05	302.78	879.28	666.78	518.55	-3.08	-2.83	0.53	1.38	-0.52	0
2015-10-31	737.82	302.18	890.63	678.23	518.91	7.75	-2.16	-0.09	0.9	0.44	0
2015-11-30	732.25	302.41	903.19	677.4	520.09	0.56	3.36	-0.51	-2.75	-1.07	0
2015-12-31	727.06	302.86	884.69	677.33	521.17	-2.17	-2.98	-2.57	-0.04	0.12	0.01
2016-01-31	717.18	300.57	879.69	658.51	518.66	-5.77	-3.51	2.1	2.28	3.01	0.01
2016-02-29	708.88	297.42	866.04	646.94	514.31	-0.07	0.92	-0.48	3.22	2.12	0.02
2016-03-31	712.9	299.17	864.94	651.28	518.13	6.96	1.14	1.14	1.08	-0.01	0.02
2016-04-30	724.47	303.41	867.1	646.7	520.21	0.92	1.18	3.25	-2.98	1.94	0.01
2016-05-31	730.29	303.76	865.14	655.63	525.09	1.78	-0.71	-1.8	-1.23	-2.59	0.01
2016-06-30	726.78	302.23	871.07	643.37	524.54	-0.05	0.48	-1.49	1.12	1.93	0.02
2016-07-31	734.54	305.48	873.61	651.73	530.14	3.95	2.67	-1.13	1.59	-1.27	0.02
2016-08-31	741.83	307.8	875.16	654.59	534.77	0.5	1.72	3.34	-1.47	-0.35	0.02
2016-09-30	746.79	310.11	876.13	655.45	537.92	0.25	1.75	-1.49	-1.92	-0.04	0.02
2016-10-31	755.21	311.41	889.4	649.37	538.48	-2.02	-3.97	4.16	1.24	0.2	0.02
2016-11-30	763.29	312.98	906.56	648.54	535.69	4.86	6.81	8.27	-0.5	3.67	0.01
2016-12-31	773.48	315.84	916.34	654.11	544.16	1.82	0.39	3.61	0.98	-0.25	0.03
2017-01-31	783.04	318.88	913.8	661.45	548.54	1.94	-1.28	-2.68	0.13	-0.94	0.04
2017-02-28	790.31	321.18	916.83	670.45	553.63	3.57	-2.14	-1.79	0.62	-1.74	0.04
2017-03-31	790.7	323.16	918.57	676.73	559.17	0.17	0.81	-3.17	0.83	-1	0.03
2017-04-30	798.74	324.35	913.12	686.77	563.79	1.09	0.51	-1.91	2.13	-1.55	0.05
2017-05-31	803.18	327.21	908.65	698.78	572.25	1.06	-3.07	-3.75	1.32	-1.84	0.06
2017-06-30	803.64	328.39	902.27	697.44	571.99	0.78	2.46	1.32	-2.13	-0.06	0.06
2017-07-31	809.08	331.24	914.36	710.67	576.38	1.87	-1.59	-0.28	-0.58	-0.14	0.07
2017-08-31	810.54	333.05	917.61	716.56	580.65	0.16	-1.87	-2.26	0.44	-2.44	0.09
2017-09-30	816.15	329.1	918.74	718.31	579.87	2.51	4.8	3.02	-1.5	1.64	0.09
2017-10-31	820.48	331.81	926.04	733.03	583.42	2.25	-1.93	-0.09	1.19	-3.32	0.09
