date	SP500	SPDIV	USRF	MSCIE	GOLD	SMICHF	SMIUSD	WINE	BORD
1966-03-31	88.88	2.78	4.59						
1966-04-30	91.6	2.79667	4.62						
1966-05-31	86.78	2.81333	4.64						
1966-06-30	86.06	2.83	4.5						
1966-07-31	85.84	2.85	4.8						
1966-08-31	80.65	2.87	4.96						
1966-09-30	77.81	2.89	5.37						
1966-10-31	77.13	2.88333	5.35						
1966-11-30	80.99	2.87667	5.32						
1966-12-31	81.33	2.87	4.96						
1967-01-31	84.45	2.88	4.72						
1967-02-28	87.36	2.89	4.56						
1967-03-31	89.42	2.9	4.26						
1967-04-30	90.96	2.9	3.84						
1967-05-31	92.59	2.9	3.6						
1967-06-30	91.43	2.9	3.54						
1967-07-31	93.01	2.90667	4.21						
1967-08-31	94.49	2.91333	4.27						
1967-09-30	95.81	2.92	4.42						
1967-10-31	95.66	2.92	4.56						
1967-11-30	92.66	2.92	4.73						
1967-12-31	95.3	2.92	4.97						
1968-01-31	95.04	2.93	5		35.2				
1968-02-29	90.75	2.94	4.98		35.2				
1968-03-31	89.09	2.95	5.17		39.4				
1968-04-30	95.67	2.96333	5.38		39.1				
1968-05-31	97.87	2.97667	5.66		41.3				
1968-06-30	100.5	2.99	5.52		41				
1968-07-31	100.3	3.00333	5.31		38.75				
1968-08-31	98.11	3.01667	5.09		39.9				
1968-09-30	101.3	3.03	5.19		38.55				
1968-10-31	103.8	3.04333	5.35		39.5				
1968-11-30	105.4	3.05667	5.45		40.62				
1968-12-31	106.5	3.07	5.96		41.72				
1969-01-31	102	3.08	6.14		42.52				
1969-02-28	101.5	3.09	6.12		42.7				
1969-03-31	99.3	3.1	6.02		43.4				
1969-04-30	101.3	3.11	6.11		43.6				
1969-05-31	104.6	3.12	6.04		43.37				
1969-06-30	99.14	3.13	6.44		40.9				
1969-07-31	94.71	3.13667	7		41.47				
1969-08-31	94.18	3.14333	6.98		40.92				
1969-09-30	94.51	3.15	7.09		40.85				
1969-10-31	95.52	3.15333	7		40				
1969-11-30	96.21	3.15667	7.24		35.6				
1969-12-31	91.11	3.16	7.82	100	35.17				
1970-01-31	90.31	3.16333	7.87	98.933	34.83				
1970-02-28	87.16	3.16667	7.13	95.657	34.96				
1970-03-31	88.65	3.17	6.63	96.663	35.1				
1970-04-30	85.95	3.17333	6.51	89.345	35.95				
1970-05-31	76.06	3.17667	6.84	84.362	35.96				
1970-06-30	75.59	3.18	6.68	85.142	35.4				
1970-07-31	75.72	3.18333	6.45	88.972	35.3				
1970-08-31	77.92	3.18667	6.41	89.423	35.25				
1970-09-30	82.58	3.19	6.12	90.18	36.23				
1970-10-31	84.37	3.17333	5.91	89.496	38				
1970-11-30	84.28	3.15667	5.28	85.177	37.55				
1970-12-31	90.05	3.14	4.87	86.952	37.4				
1971-01-31	93.49	3.13	4.44	90.435	38.05				
1971-02-28	97.11	3.12	3.7	90.479	38.75				
1971-03-31	99.6	3.11	3.38	93.231	38.82				
1971-04-30	103	3.10667	3.86	96.871	39.2				
1971-05-31	101.6	3.10333	4.14	99.323	40.92				
1971-06-30	99.72	3.1	4.75	99.931	40.15				
1971-07-31	99	3.09667	5.4	104.229	42.9				
1971-08-31	97.24	3.09333	4.94	103.881	42.85				
1971-09-30	99.4	3.09	4.69	101.594	42.65				
1971-10-31	97.29	3.08333	4.46	97.979	42.5				
1971-11-30	92.78	3.07667	4.22	100.415	43.4				
1971-12-31	99.17	3.07	4.01	107.003	43.55				
1972-01-31	103.3	3.07	3.38	113.117	46.2				
1972-02-29	105.2	3.07	3.2	119.014	48.64				
1972-03-31	107.7	3.07	3.73	122.072	48.4				
1972-04-30	108.8	3.07	3.71	124.143	49.3				
1972-05-31	107.7	3.07	3.69	125.991	59.4				
1972-06-30	108	3.07	3.91	119.389	64				
1972-07-31	107.2	3.07333	3.98	125.392	66.5				
1972-08-31	111	3.07667	4.02	125.933	66.85				
1972-09-30	109.4	3.08	4.66	118.277	68.75				
1972-10-31	109.6	3.10333	4.74	117.81	64.75				
1972-11-30	115.1	3.12667	4.78	120.735	63.55				
1972-12-31	117.5	3.15	5.07	119.526	65				
1973-01-31	118.4	3.15667	5.41	119.81	68.8				
1973-02-28	114.2	3.16333	5.6	127.876	82				
1973-03-31	112.4	3.17	6.09	131.194	90.75				
1973-04-30	110.3	3.18667	6.26	131.608	90.7				
1973-05-31	107.2	3.20333	6.36	133.226	126				
1973-06-30	104.8	3.22	7.19	138.043	122				
1973-07-31	105.8	3.23667	8.01	130.381	115.6				
1973-08-31	103.8	3.25333	8.67	124.579	105.1				
1973-09-30	105.6	3.27	8.29	126.939	97.75				
1973-10-31	109.8	3.30667	7.22	129.984	98				
1973-11-30	102	3.34333	7.83	110.038	105.5				
1973-12-31	94.78	3.38	7.45	106.272	111.75				
1974-01-31	96.11	3.4	7.77	105.85	137.5				
1974-02-28	93.45	3.42	7.12	108.841	175				
1974-03-31	97.44	3.44	7.96	104.132	172.25				
1974-04-30	92.46	3.46	8.33	108.322	174.7				
1974-05-31	89.67	3.48	8.23	99.629	154				
1974-06-30	89.79	3.5	7.9	94.202	149.75				
1974-07-31	79.31	3.53	7.55	92.889	159				
1974-08-31	76.03	3.56	8.96	83.036	152.5				
1974-09-30	68.12	3.59	8.06	74.679	147.5				
1974-10-31	69.44	3.59333	7.46	77.675	168.25				
1974-11-30	71.74	3.59667	7.47	77.478	186				
1974-12-31	67.07	3.6	7.15	77.731	193				
1975-01-31	72.56	3.62333	6.26	95.681	176.5				
1975-02-28	80.1	3.64667	5.5	107.948	185				
1975-03-31	83.78	3.67	5.49	104.237	176.75				
1975-04-30	84.72	3.68333	5.61	111.395	167.05				
1975-05-31	90.1	3.69667	5.23	109.336	172				
1975-06-30	92.4	3.71	5.34	102.035	162.4				
1975-07-31	92.49	3.71	6.13	97.869	168.4				
1975-08-31	85.71	3.71	6.44	99.671	161.85				
1975-09-30	84.67	3.71	6.42	94.582	128.75				
1975-10-31	88.57	3.7	5.96	101.904	142.7				
1975-11-30	90.07	3.69	5.48	104.29	141.4				
1975-12-31	88.7	3.68	5.44	106.254	140.75				
1976-01-31	96.86	3.68333	4.87	110.602	126.25				
1976-02-29	100.6	3.68667	4.88	108.158	132.45				
1976-03-31	101.1	3.69	5	105.004	128.7				
1976-04-30	101.9	3.71333	4.86	103.471	128.7				
1976-05-31	101.2	3.73667	5.2	98.433	124.5				
1976-06-30	101.8	3.76	5.41	97.961	123.7				
1976-07-31	104.2	3.79	5.23	95.92	114.15				
1976-08-31	103.3	3.82	5.14	93.647	104.38				
1976-09-30	105.5	3.85	5.08	90.88	116.25				
1976-10-31	101.9	3.91667	4.92	83.93	124				
1976-11-30	101.2	3.98333	4.75	87.398	130.5				
1976-12-31	104.7	4.05	4.35	94.726	134.63				
1977-01-31	103.8	4.09667	4.62	95.111	132.38				
1977-02-28	101	4.14333	4.67	95.709	143.13				
1977-03-31	100.6	4.19	4.6	96.153	148.88				
1977-04-30	99.05	4.24667	4.54	99.423	147.38				
1977-05-31	98.76	4.30333	4.96	98.457	143.2				
1977-06-30	99.29	4.36	5.02	99.404	143.13				
1977-07-31	100.2	4.40667	5.19	97.612	144.38				
1977-08-31	97.75	4.45333	5.49	101.708	146.13				
1977-09-30	96.23	4.5	5.81	105.794	154.38				
1977-10-31	93.74	4.55667	6.16	108.17	161.63				
1977-11-30	94.28	4.61333	6.1	106.059	160.13				
1977-12-31	93.82	4.67	6.07	111.438	165.13				
1978-01-31	90.25	4.71333	6.44	110.95	175.88				
1978-02-28	88.98	4.75667	6.45	110.35	182.63				
1978-03-31	88.82	4.8	6.29	113.815	183.63				
1978-04-30	92.71	4.83667	6.29	111.787	170.63				
1978-05-31	97.41	4.87333	6.41	114.201	184.38				
1978-06-30	97.66	4.91	6.73	114.668	183.38				
1978-07-31	97.19	4.94667	7.01	123.049	200.63				
1978-08-31	103.9	4.98333	7.08	126.971	208.13				
1978-09-30	103.9	5.02	7.85	131.807	217.38				
1978-10-31	100.6	5.03667	7.99	137.597	241.13				
1978-11-30	94.71	5.05333	8.64	125.176	193.38				
1978-12-31	96.11	5.07	9.08	131.098	226.38				
1979-01-31	99.71	5.11333	9.35	131.307	233.88				
1979-02-28	98.23	5.15667	9.32	133.477	251.63				
1979-03-31	100.1	5.2	9.48	141.415	238.63				
1979-04-30	102.1	5.24667	9.46	142.921	246.38				
1979-05-31	99.73	5.29333	9.61	135.322	275.63				
1979-06-30	101.7	5.34	9.06	138.839	279.88				
1979-07-31	102.7	5.39667	9.24	140.468	298.88				
1979-08-31	107.4	5.45333	9.52	144.26	316.38				
1979-09-30	108.6	5.51	10.26	151.085	398				
1979-10-31	104.5	5.55667	11.7	137.049	382.5				
1979-11-30	103.7	5.60333	11.79	142.234	415.75				
1979-12-31	107.8	5.65	12.04	142.095	526.5				
1980-01-31	110.9	5.7	12	148.62	650				
1980-02-29	115.3	5.75	12.86	149.913	640.5				
1980-03-31	104.7	5.8	15.2	127.983	504				
1980-04-30	103	5.84667	13.2	140.398	514.5				
1980-05-31	107.7	5.89333	8.58	143.535	535.5				
1980-06-30	114.6	5.94	7.07	153.192	651.5				
1980-07-31	119.8	5.98333	8.06	154.859	617.19				
1980-08-31	123.5	6.02667	9.13	155.585	632.5				
1980-09-30	126.5	6.07	10.27	157.527	670.5				
1980-10-31	130.2	6.1	11.62	162.469	629.5				
1980-11-30	135.7	6.13	13.73	159.851	622.5				
1980-12-31	133.5	6.16	15.49	152.799	589.5				
1981-01-31	133	6.2	15.02	146.33	506.5				
1981-02-28	128.4	6.24	14.79	144.428	490.5				
1981-03-31	133.2	6.28	13.36	146.673	507.5				
1981-04-30	134.4	6.31667	13.69	144.642	482				
1981-05-31	131.7	6.35333	16.3	132.557	479.5				
1981-06-30	132.3	6.39	14.73	128.943	427.5				
1981-07-31	129.1	6.43333	14.95	124.845	406				
1981-08-31	129.6	6.47667	15.51	127.919	427				
1981-09-30	118.3	6.52	14.7	115.431	430.5				
1981-10-31	119.8	6.55667	13.54	119.513	428				
1981-11-30	122.9	6.59333	10.86	133.618	409				
1981-12-31	123.8	6.63	10.85	128.672	400				
1982-01-31	117.3	6.66	12.28	130.093	387				
1982-02-28	114.5	6.69	13.48	124.585	363				
1982-03-31	110.8	6.72	12.68	123.768	320				
1982-04-30	116.3	6.75	12.7	127.078	362				
1982-05-31	116.4	6.78	12.09	126.505	324				
1982-06-30	109.7	6.81	12.47	115.835	318				
1982-07-31	109.4	6.82333	11.35	117.821	342.5				
1982-08-31	109.7	6.83667	8.68	118.088	413.5				
1982-09-30	122.4	6.85	7.92	120.344	395.5				
1982-10-31	132.7	6.85667	7.71	121.412	423				
1982-11-30	138.1	6.86333	8.07	122.855	438				
1982-12-31	139.4	6.87	7.94	128.701	448				
1983-01-31	144.3	6.88333	7.86	128.532	500				
1983-02-28	146.8	6.89667	8.11	133.121	413				
1983-03-31	151.9	6.91	8.35	139.432	418				
1983-04-30	157.7	6.92	8.21	150.413	429				
1983-05-31	164.1	6.93	8.19	148.457	436.5				
1983-06-30	166.4	6.94	8.79	150.71	416				
1983-07-31	167	6.96	9.08	148.248	421.63				
1983-08-31	162.4	6.98	9.34	144.658	414.63				
1983-09-30	167.2	7	9	146.788	406.88				
1983-10-31	167.7	7.03	8.64	146.308	382.88				
1983-11-30	165.2	7.06	8.76	150.243	403.5				
1983-12-31	164.4	7.09	9	150.996	382				
1984-01-31	166.4	7.12	8.9	156.708	373.13				
1984-02-29	157.3	7.15	9.09	161.062	395				
1984-03-31	157.4	7.18	9.52	164.475	388.25				
1984-04-30	157.6	7.22333	9.69	161.791	375.5				
1984-05-31	156.6	7.26667	9.83	149.523	384.75				
1984-06-30	153.1	7.31	9.87	148.789	373.5				
1984-07-31	151.1	7.33333	10.12	138.553	341.13				
1984-08-31	164.4	7.35667	10.47	149.83	348				
1984-09-30	166.1	7.38	10.37	147.151	343.75				
1984-10-31	164.8	7.43	9.74	147.056	333.75				
1984-11-30	166.3	7.48	8.61	146.203	329.25				
1984-12-31	164.5	7.53	8.06	146.816	309				
1985-01-31	171.6	7.57333	7.76	153.162	306.75				
1985-02-28	180.9	7.61667	8.27	146.376	288.75				
1985-03-31	179.4	7.66	8.52	162.81	330				
1985-04-30	180.6	7.68667	7.95	167.013	321				
1985-05-31	184.9	7.71333	7.48	175.235	316				
1985-06-30	188.9	7.74	6.95	176.805	317.75				
1985-07-31	192.5	7.77333	7.08	192.922	325.25				
1985-08-31	188.3	7.80667	7.14	202.268	333.5				
1985-09-30	184.1	7.84	7.1	205.034	325.25				
1985-10-31	186.2	7.86	7.16	227.22	324.5				
1985-11-30	197.5	7.88	7.24	244.399	325				
1985-12-31	207.3	7.9	7.1	254.45	327.25				
1986-01-31	208.2	7.94	7.07	258.701	349.63				
1986-02-28	219.4	7.98	7.06	288.794	337				
1986-03-31	232.3	8.02	6.56	311.782	343.75				
1986-04-30	238	8.04667	6.06	340.054	345.75				
1986-05-31	238.5	8.07333	6.15	309.327	343.5				
1986-06-30	245.3	8.1	6.21	322.092	347.5				
1986-07-31	240.2	8.14333	5.83	318.619	358.88				
1986-08-31	245	8.18667	5.53	353.483	385.25				
1986-09-30	238.3	8.23	5.21	330.311	423.63				
1986-10-31	237.4	8.24667	5.18	331.616	400.63				
1986-11-30	245.1	8.26333	5.35	348.757	389.25				
1986-12-31	248.6	8.28	5.53	356.905	391				
1987-01-31	264.5	8.3	5.43	372.012	404.38				
1987-02-28	280.9	8.32	5.59	384.631	405.5				
1987-03-31	292.5	8.34	5.59	402.942	419.5				
1987-04-30	289.3	8.4	5.64	418.004	452.75				
1987-05-31	289.1	8.46	5.66	414.976	451.75				
1987-06-30	301.4	8.52	5.67	426.102	446.75				
1987-07-31	310.1	8.56667	5.69	439.733	461.75				
1987-08-31	329.4	8.61333	6.04	442.68	453.75				
1987-09-30	318.7	8.66	6.4	444.857	459.25				
1987-10-31	280.2	8.71	6.13	359.522	467.75				
1987-11-30	245	8.76	5.69	342.885	492.63				
1987-12-31	241	8.81	5.77	361.993	486.5				
1988-01-31	250.5	8.85667	5.81	346.347	456.25				
1988-02-29	258.1	8.90333	5.66	365.926	425				
1988-03-31	265.7	8.95	5.7	375.152	456.25				
1988-04-30	262.6	9.04333	5.91	381.252	449				
1988-05-31	256.1	9.13667	6.26	373.265	454.75				
1988-06-30	270.7	9.23	6.46	368.67	435.75	1500	994.95		
1988-07-31	269.1	9.30667	6.73	368.675	435.75	1505.8	964.67		
1988-08-31	263.7	9.38333	7.06	351.128	429.5	1479.1	932.89		
1988-09-30	268	9.46	7.24	369.398	394.75	1543.4	974.75		
1988-10-31	277.4	9.55	7.35	402.762	411.5	1590.8	1059.63		
1988-11-30	271	9.64	7.76	406.826	423.25	1428	982.35		
1988-12-31	276.5	9.75	8.07	408.086	410.25	1435.4	955.7		
1989-01-31	285.4	9.81333	8.27	422.022	394.25	1490.5	931.83		
1989-02-28	294	9.89667	8.53	416.347	387	1450.1	932.61		
1989-03-31	292.7	10.01	8.82	418.479	383.75	1527.7	919.34		
1989-04-30	302.3	10.0867	8.65	429.197	378.25	1576.9	942.79		
1989-05-31	313.9	10.1933	8.43	406.365	363.25	1519.8	890.92		
1989-06-30	323.7	10.37	8.15	422.246	371.25	1638.9	976.41		
1989-07-31	331.9	10.4233	7.88	471.025	368.25	1795.4	1117.47		
1989-08-31	346.6	10.5467	7.9	464.248	360	1880.1	1113.2		
1989-09-30	347.3	10.73	7.75	471.304	365.75	1796.8	1107.57		
1989-10-31	347.4	10.7967	7.64	439.481	375.25	1695.5	1050.24		
1989-11-30	340.2	10.9233	7.69	462.921	410	1779.1	1118.8		
1989-12-31	348.6	11.06	7.63	511.749	401	1778.1	1152.64		
1990-01-31	339.97	11.14	7.64	509.35	412.75	1715.9	1141.67		
1990-02-28	330.45	11.23	7.74	496.109	407.5	1692.3	1134.92		
1990-03-31	338.46	11.32	7.9	502.064	369.5	1642.8	1099.09		
1990-04-30	338.18	11.4367	7.77	487.654	367.75	1561.6	1075.73		
1990-05-31	350.25	11.5533	7.74	526.255	363.75	1779.8	1242.34		
1990-06-30	360.39	11.66	7.73	543.594	352.75	1808.3	1277.16		
1990-07-31	360.03	11.7267	7.62	565.311	372	1762.2	1307.16		
1990-08-31	330.75	11.7833	7.45	508.023	385.25	1530.6	1170.37		
1990-09-30	315.41	11.83	7.36	446.981	404.75	1351	1040.53		
1990-10-31	307.12	11.9267	7.17	483.414	379.25	1417.9	1102.56		
1990-11-30	315.29	12.0133	7.06	486.993	384.75	1384.9	1084.16		
1990-12-31	328.75	12.09	6.74	478.687	391.5	1389.3	1089.98		
1991-01-31	325.49	12.1067	6.22	493.513	366.75	1434.3	1141.05		
1991-02-28	362.26	12.1133	5.94	535.434	364.75	1578.7	1190.96		
1991-03-31	372.28	12.11	5.91	498.387	355.85	1649.4	1133.72		
1991-04-30	379.68	12.13	5.65	492.02	357.3	1659.5	1145.54		
1991-05-31	377.99	12.14	5.46	505.389	360.75	1740.8	1174.82		
1991-06-30	378.29	12.15	5.57	461.878	369.4	1664.3	1068.19		
1991-07-31	380.23	12.1933	5.58	492.752	363	1727.2	1132.42		
1991-08-31	389.4	12.2367	5.33	500.61	348.05	1736.6	1136.99		
1991-09-30	387.2	12.28	5.22	514.441	354.55	1664.7	1148.9		
1991-10-31	386.88	12.2533	4.99	502.453	357.8	1683.9	1149.54		
1991-11-30	385.92	12.2267	4.56	489.442	366.35	1622.6	1129.74		
1991-12-31	388.51	12.2	4.07	526.399	353.3	1670.1	1232.64		
1992-01-31	416.08	12.24	3.8	525.022	355.4	1753.5	1227.28		
1992-02-29	412.56	12.28	3.84	525.87	353.2	1840.6	1240.24		
1992-03-31	407.36	12.32	4.04	506.273	342.55	1837.2	1223.98		
1992-04-30	407.41	12.32	3.75	533.011	336.5	1880.1	1239.09		
1992-05-31	414.81	12.32	3.63	562.118	336.95	1920.6	1318.11		
1992-06-30	408.27	12.32	3.66	550.359	343.55	1854.8	1349.2		
1992-07-31	415.05	12.3433	3.21	529.386	357.95	1798.1	1363.22		
1992-08-31	417.93	12.3667	3.13	526.299	340	1751.7	1391.53		
1992-09-30	418.48	12.4	2.91	516.324	348.85	1878.3	1521		
1992-10-31	412.5	12.3867	2.86	479.153	339.65	1911.1	1385.66		
1992-11-30	422.84	12.3833	3.13	477.827	334.45	1931.2	1343.85		
1992-12-31	435.64	12.39	3.22	487.708	333.05	2105.4	1437.46		
1993-01-31	435.23	12.4133	3	487.46	330.35	2091	1406.93		
1993-02-28	441.7	12.4467	2.93	492.026	327.75	2100.6	1375.9		
1993-03-31	450.16	12.48	2.95	516.303	337.85	2190.3	1465.55		
1993-04-30	443.08	12.4933	2.87	526.608	355.75	2129.7	1485.11		
1993-05-31	445.25	12.5067	2.96	531.207	379.75	2271.6	1602.7		
1993-06-30	448.06	12.52	3.07	522.417	378.25	2376.2	1573.77		
1993-07-31	447.29	12.52	3.04	523.221	405.75	2400.9	1577.58		
1993-08-31	454.13	12.52	3.02	568.124	371.35	2488.5	1680.65		
1993-09-30	459.24	12.52	2.95	565.329	355.25	2472.9	1730.16		
1993-10-31	463.9	12.54	3.02	587.867	368.8	2722.4	1833.23		
1993-11-30	462.89	12.56	3.1	574.169	370	2738.6	1825.12		
1993-12-31	465.95	12.58	3.06	616.274	390.75	2956.7	1991.01		
1994-01-31	472.99	12.6233	2.98	646.648	378.25	3178.1	2167.1		
1994-02-28	471.58	12.6667	3.25	622.72	381.8	2915.9	2041.71		
1994-03-31	463.81	12.71	3.5	604.035	389.75	2795.4	1984.18		
1994-04-30	447.23	12.7533	3.68	627.974	376.1	2738.4	1945.62		
1994-05-31	450.9	12.7967	4.14	600.2	387.8	2722.6	1941.23		
1994-06-30	454.83	12.84	4.14	592.783	388	2609	1949.96		
1994-07-31	451.4	12.87	4.33	622.737	383.9	2579.3	1916.96		
1994-08-31	464.24	12.9	4.48	641.362	386.25	2645.3	1988.94		
1994-09-30	466.96	12.92	4.62	614.77	393.8	2534.4	1967.97		
1994-10-31	463.81	13.0133	4.95	640.354	384.5	2508.5	1993.97		
1994-11-30	461.01	13.0967	5.29	614.671	383	2594.2	1952.73		
1994-12-31	455.19	13.17	5.6	617.002	382.75	2629.3	2009.15		
1995-01-31	465.25	13.18	5.71	610.993	374.7	2536.5	1987.94		
1995-02-28	481.92	13.18	5.77	623.62	376.5	2600	2094.76		
1995-03-31	493.15	13.17	5.73	651.249	391.75	2508	2227.27		
1995-04-30	507.91	13.2433	5.65	670.769	388.6	2597.2	2274.21		
1995-05-31	523.81	13.3067	5.67	683.201	384.15	2785.6	2385.87		
1995-06-30	539.35	13.36	5.47	688.312	385.7	2825.3	2452.27		
1995-07-31	557.37	13.44	5.42	722.839	383.1	2827	2465.79		
1995-08-31	559.11	13.51	5.4	693.595	382.3	2909.6	2412.55		
1995-09-30	578.77	13.58	5.28	713.212	383.75	3013.9	2622.95		
1995-10-31	582.92	13.65	5.28	708.503	382.75	3108.1	2734.77		
1995-11-30	595.53	13.72	5.36	712.22	387.85	3251.2	2770		
1995-12-31	614.57	13.79	5.14	733.448	387.05	3299.2	2867.15		
1996-01-31	614.42	13.8933	5	736.94	405.75	3248.7	2684.6		
1996-02-29	649.54	13.9967	4.83	748.998	401.35	3354.8	2799.14		
1996-03-31	647.07	14.1	4.96	756.568	396.55	3646.5	3063.16		
1996-04-30	647.17	14.1567	4.95	760.684	391.75	3651	2933.29		
1996-05-31	661.23	14.2133	5.02	765.168	390.95	3556.1	2839.82		
1996-06-30	668.5	14.27	5.09	772.185	382.25	3732.9	2982.31		
1996-07-31	644.07	14.4	5.15	761.075	385.35	3494.4	2919.38		
1996-08-31	662.68	14.53	5.05	782.207	386.6	3646.3	3044.75		
1996-09-30	674.88	14.66	5.09	797.231	378.6	3736.4	2980.65		
1996-10-31	701.46	14.74	4.99	814.284	379.75	3725.3	2959.59		
1996-11-30	735.67	14.82	5.03	854.069	371.45	3902.5	2996.56		
1996-12-31	743.25	14.9	4.91	869.129	369.65	3942.2	2935.98		
1997-01-31	766.22	14.9533	5.03	870.096	344.15	4272.2	3001.8		
1997-02-28	798.39	15.0067	5.01	880.185	358.65	4487.6	3042.39		
1997-03-31	792.16	15.06	5.14	907.148	347.95	4659.2	3234.16		
1997-04-30	763.93	15.0933	5.16	901.196	340.1	4897.6	3323.93		
1997-05-31	833.09	15.1267	5.05	938.207	345.05	5041.6	3563.8		
1997-06-30	876.29	15.16	4.93	983.669	334.55	5620.6	3855.4		
1997-07-31	925.29	15.2167	5.05	1028.33	326.35	5898.2	3900.61		
1997-08-31	927.24	15.2733	5.14	968.114	324.75	5216.7	3515.08		
1997-09-30	937.02	15.33	4.95	1060.528	333.05	5673.6	3906.7		
1997-10-31	951.16	15.3867	4.97	1006.861	312.55	5467.2	3915.33		
1997-11-30	938.92	15.4433	5.14	1020.833	296.85	5775.9	4051.31		
1997-12-31	962.37	15.5	5.16	1056.662	289.15	6265.5	4295.57		
1998-01-31	963.36	15.55	5.04	1099.164	303.05	6582.6	4460.97		
1998-02-28	1023.74	15.6	5.09	1183.552	298.45	7153.1	4874.02		
1998-03-31	1076.83	15.64	5.03	1266.257	301.35	7585.5	4975.64		
1998-04-30	1112.2	15.75	4.95	1289.193	309.8	7401.4	4934.47		
1998-05-31	1108.42	15.85	5	1313.687	293.95	7656.1	5177.83		
1998-06-30	1108.39	15.95	4.98	1326.452	297.65	7882	5196.43		
1998-07-31	1156.58	16.0167	4.96	1351.032	288.55	8239.5	5527.97		
1998-08-31	1074.62	16.0833	4.9	1179.439	275.15	6679.4	4618.13		
1998-09-30	1020.64	16.14	4.61	1130.577	294.95	5760.4	4161.2		
1998-10-31	1032.47	16.1667	3.96	1219.372	292.95	6550.6	4837.48		
1998-11-30	1144.43	16.1833	4.41	1282.573	292.35	7083.1	5090.28		
1998-12-31	1190.05	16.2	4.39	1336.97	287.75	7160.7	5213.38		
1999-01-31	1248.77	16.28333333	4.34	1326.7	286.25	7201.2	5073.61		
1999-02-28	1246.58	16.36666667	4.44	1291.35	286.95	7063.8	4874.73		
1999-03-31	1281.66	16.45	4.44	1303.738	279.85	7130.2	4817.23		
1999-04-30	1334.76	16.45	4.29	1340.883	286.55	7335.5	4818.06		
1999-05-31	1332.07	16.45	4.5	1274.783	269.95	6911.6	4530.08		
1999-06-30	1322.55	16.45	4.57	1294.595	261.15	6908.9	4444.05		
1999-07-31	1380.99	16.51333333	4.55	1304.857	255.8	6887.4	4613.1		
1999-08-31	1327.49	16.57666667	4.72	1316.368	255.15	7008.8	4625.97		
1999-09-30	1318.17	16.64	4.68	1304.446	301	6907.4	4603.02		
1999-10-31	1300.01	16.65666667	4.86	1350.686	300.5	7160.3	4699.17		
1999-11-30	1391	16.67333333	5.07	1385.408	291.7	7399.7	4651.32		
1999-12-31	1428.68	16.69	5.2	1525.772	291	7570.1	4729.14		
2000-01-31	1425.59	16.71333333	5.32	1415.479	283.05	6894.7	4194.45		
2000-02-29	1388.87	16.73666667	5.55	1487.641	293.75	6910.1	4141.78		
2000-03-31	1442.21	16.76	5.69	1521.865	277.45	7428.1	4467.5		
2000-04-30	1461.36	16.74	5.66	1453.024	275.25	7406.2	4304.6		
2000-05-31	1418.48	16.72	5.79	1439.486	272.65	7754	4574.66		
2000-06-30	1461.96	16.7	5.69	1468.66	289	7761.6	4773.08		
2000-07-31	1473	16.58333333	5.96	1443.551	277.25	8023.2	4806.95		
2000-08-31	1485.46	16.46666667	6.09	1424.921	277	8219.9	4717.21		
2000-09-30	1468.05	16.35	6	1356.578	273.35	7713.3	4462.57		
