date	VIX	rf	SPDIV	SP500	eurusd	FINANC
2001-08-31	24.92	0.28	15.72333333	1178.50	4.631456761	262.15
2001-09-30	31.93	0.22	15.74	1044.64	1.1093854	246.32
2001-10-31	33.56	0.18	15.74	1076.59	-0.70221637	241.35
2001-11-30	23.84	0.155833333	15.74	1129.68	-1.845303867	258.17
2001-12-31	23.8	0.140833333	15.74	1144.93	0.326466284	263.38
2002-01-31	21.09	0.1375	15.73666667	1140.21	-0.897666068	258.7
2002-02-28	21.59	0.144166667	15.73333333	1100.67	-1.415307971	254.54
2002-03-31	17.4	0.149166667	15.73	1153.79	0.677615711	271.24
2002-04-30	21.91	0.143333333	15.83333333	1111.93	1.072324892	263.59
2002-05-31	19.98	0.144166667	15.93666667	1079.25	3.498871332	262.71
2002-06-30	25.4	0.141666667	16.04	1014.02	4.263904035	249.75
2002-07-31	32.03	0.14	15.96	903.59	3.911724715	229.54
2002-08-31	32.64	0.135	15.88	912.55	-1.550075491	233.81
2002-09-30	39.69	0.135833333	15.8	867.81	0.255597587	206.07
2002-10-31	31.14	0.131666667	15.89	854.63	0.061187028	224.19
2002-11-30	27.5	0.1025	15.98	909.93	2.048512026	233.01
2002-12-31	28.62	0.099166667	16.07	899.18	1.807650055	220.08
2003-01-31	31.17	0.0975	16.12	895.84	4.198548166	215.93
2003-02-28	29.63	0.0975	16.17	837.03	1.534550932	208.84
2003-03-31	29.15	0.094166667	16.22	846.63	0.111265647	207.6
2003-04-30	21.21	0.094166667	16.20333333	890.03	0.602019079	232.62
2003-05-31	19.47	0.089166667	16.18666667	935.96	6.389246916	244.42
2003-06-30	19.52	0.076666667	16.17	988.00	1.021114573	244.59
2003-07-31	19.49	0.075	16.31	992.54	-2.646907658	255.15
2003-08-31	18.63	0.079166667	16.45	989.53	-1.847778267	252.16
2003-09-30	22.72	0.078333333	16.59	1019.44	1.004034065	253.36
2003-10-31	16.1	0.076666667	16.85666667	1038.73	3.967338244	270.13
2003-11-30	16.32	0.0775	17.12333333	1049.90	-0.034147174	268.94
2003-12-31	18.31	0.075	17.39	1080.64	5.021349274	281.54
2004-01-31	16.63	0.073333333	17.6	1132.52	2.764677183	289.84
2004-02-29	14.55	0.0775	17.81	1143.36	0.015825289	297.12
2004-03-31	16.74	0.078333333	18.02	1123.98	-2.998417722	293.58
2004-04-30	17.19	0.078333333	18.21333333	1133.36	-2.218416116	279.35
2004-05-31	15.5	0.085	18.40666667	1102.78	0.091750772	284.11
2004-06-30	14.34	0.105833333	18.6	1132.76	1.216666667	284.94
2004-07-31	15.32	0.110833333	18.78666667	1105.85	0.987979582	278.32
2004-08-31	15.29	0.123333333	18.97333333	1088.94	-0.611446274	287.28
2004-09-30	13.34	0.1375	19.16	1117.66	0.270691494	284.25
2004-10-31	16.27	0.146666667	19.25333333	1117.21	2.315117801	284.88
2004-11-30	13.24	0.1725	19.34666667	1168.94	3.917806029	292.8
2004-12-31	13.29	0.1825	19.44	1199.21	3.146880049	304.72
2005-01-31	12.82	0.194166667	19.70333333	1181.41	-2.110995077	297.65
2005-02-28	12.08	0.211666667	19.96666667	1199.63	-0.838222967	295.39
2005-03-31	14.02	0.228333333	20.23	1194.90	1.321755168	283.5
2005-04-30	15.31	0.231666667	20.46333333	1164.43	-1.835419037	283.01
2005-05-31	13.29	0.236666667	20.69666667	1178.28	-1.900641273	290.32
2005-06-30	12.04	0.2475	20.93	1202.25	-4.268724896	293.84
2005-07-31	11.57	0.268333333	21.11	1222.24	-0.937885644	297.68
2005-08-31	12.6	0.286666667	21.29	1224.27	2.109459347	291.7
2005-09-30	11.92	0.285	21.47	1225.92	-0.496136641	294.05
2005-10-31	15.32	0.309166667	21.72	1191.96	-1.732875593	302.81
2005-11-30	12.06	0.323333333	21.97	1237.37	-1.938113459	315.72
2005-12-31	12.07	0.324166667	22.22	1262.07	0.610738824	316.06
2006-01-31	12.95	0.353333333	22.40666667	1278.73	2.234212967	318.37
2006-02-28	12.34	0.369166667	22.59333333	1276.65	-1.533894112	324.03
2006-03-31	11.39	0.375833333	22.78	1293.74	0.737018425	324.25
2006-04-30	11.59	0.383333333	23	1302.17	2.036913868	337.42
2006-05-31	16.44	0.393333333	23.22	1290.01	4.025095739	324.14
2006-06-30	13.08	0.399166667	23.44	1253.17	-0.830265528	321.79
2006-07-31	14.95	0.4125	23.66	1260.24	0.157965406	329.22
2006-08-31	12.31	0.413333333	23.88	1287.15	1.017269931	331.8
2006-09-30	11.98	0.400833333	24.1	1317.74	-0.68696331	345.29
2006-10-31	11.1	0.41	24.36	1363.38	-0.825341927	353.11
2006-11-30	10.91	0.411666667	24.62	1388.64	2.147895696	353.91
2006-12-31	11.56	0.404166667	24.88	1416.42	2.45965239	367.14
2007-01-31	10.42	0.415	25.08333333	1424.16	-1.60545248	369.73
2007-02-28	15.42	0.419166667	25.28666667	1444.80	0.669591318	357.59
2007-03-31	14.64	0.411666667	25.49	1406.95	1.26911315	354.52
2007-04-30	14.22	0.405833333	25.71666667	1463.64	2.015702854	368.61
2007-05-31	13.05	0.394166667	25.94333333	1511.14	0.037001406	375.8
2007-06-30	16.23	0.384166667	26.17	1514.19	-0.717561769	359.81
2007-07-31	23.52	0.401666667	26.44	1520.71	2.272557932	331.2
2007-08-31	23.38	0.35	26.71	1454.62	-0.728544368	335.38
2007-09-30	18	0.324166667	26.98	1497.12	2.084250697	342.08
2007-10-31	18.53	0.325	27.23	1539.66	2.322070453	335.26
2007-11-30	22.87	0.2725	27.48	1463.39	3.16166655	308.27
2007-12-31	22.5	0.25	27.73	1479.22	-0.844514064	290.62
2008-01-31	26.2	0.229166667	27.92	1378.76	1.160794011	288.86
2008-02-29	26.54	0.176666667	28.11	1354.87	0.210483433	255.85
2008-03-31	25.61	0.105	28.3	1316.94	5.156175893	247.99
2008-04-30	20.79	0.1075	28.43666667	1370.47	1.507731959	263.72
2008-05-31	17.83	0.144166667	28.57333333	1403.22	-1.269518852	246.93
2008-06-30	23.95	0.155	28.71	1341.25	0.051433715	200.84
2008-07-31	22.94	0.135833333	28.75666667	1257.33	1.265904125	214.51
2008-08-31	20.65	0.143333333	28.80333333	1281.47	-5.101846564	211.69
2008-09-30	39.39	0.094166667	28.85	1216.95	-4.098963557	200.64
2008-10-31	59.89	0.055833333	28.69666667	968.8	-7.502440385	155.02
2008-11-30	55.28	0.015833333	28.54333333	883.04	-3.934871099	125.97
2008-12-31	40	0.0025	28.39	877.56	6.018518519	125.11
2009-01-31	44.84	0.010833333	28.01333333	865.58	-1.976167567	91.9
2009-02-28	46.35	0.025	27.63666667	805.23	-3.375113259	74.98
2009-03-31	44.14	0.0175	27.26	757.13	1.977025865	88.22
2009-04-30	36.5	0.013333333	26.70333333	848.15	1.141762452	107.77
2009-05-31	28.92	0.015	26.14666667	902.41	3.386620198	121.89
2009-06-30	26.35	0.015	25.59	926.12	2.696760956	119.16
2009-07-31	25.92	0.015	25.02666667	935.82	0.556586271	129.63
2009-08-31	26.01	0.014166667	24.46333333	1009.73	1.234743117	146.3
2009-09-30	25.61	0.01	23.9	1044.55	2.165989065	149.12
2009-10-31	30.69	0.005833333	23.40333333	1067.66	1.687821612	140.12
2009-11-30	24.51	0.004166667	22.90666667	1088.07	0.587004925	146.04
2009-12-31	21.68	0.004166667	22.41	1110.38	-2.206868795	143.64
2010-01-31	24.62	0.005	22.24	1123.58	-2.146923657	141.51
2010-02-28	19.5	0.009166667	22.07	1089.16	-4.107668583	146.34
2010-03-31	17.59	0.0125	21.9	1152.05	-0.804093567	159.18
2010-04-30	22.05	0.013333333	21.94666667	1197.32	-1.127487104	161.25
2010-05-31	32.07	0.013333333	21.99333333	1125.06	-6.365059253	146.33
2010-06-30	34.54	0.01	22.04	1083.36	-2.706359946	137.6
2010-07-31	23.5	0.013333333	22.14333333	1079.8	4.810602962	146.7
2010-08-31	26.05	0.013333333	22.24666667	1087.28	0.718132855	135.1
2010-09-30	23.7	0.0125	22.35	1122.08	1.550027125	143.19
2010-10-31	21.2	0.010833333	22.47666667	1171.58	6.090208349	145.15
2010-11-30	23.54	0.011666667	22.60333333	1198.89	-1.776850586	143.9
2010-12-31	17.75	0.011666667	22.73	1241.53	-3.171231873	159.2
2011-01-31	19.53	0.0125	22.96333333	1282.62	1.134558657	163.59
2011-02-28	18.35	0.010833333	23.19666667	1321.12	2.131478573	168.1
2011-03-31	17.74	0.008333333	23.43	1304.49	2.665495021	163.6
2011-04-30	14.75	0.005	23.73333333	1331.51	3.138373752	163.44
2011-05-31	15.45	0.003333333	24.03666667	1338.31	-0.864453665	157.95
2011-06-30	16.52	0.003333333	24.34	1287.29	0.474363446	153.34
2011-07-31	25.25	0.003333333	24.62	1325.19	-0.888703742	147.64
2011-08-31	31.62	0.001666667	24.9	1185.31	0.406304729	133.3
2011-09-30	42.96	0.000833333	25.18	1173.88	-4.088467174	117.9
2011-10-31	29.96	0.001666667	25.59666667	1207.22	-0.109114716	134.59
2011-11-30	27.8	0.000833333	26.01333333	1226.42	-1.267113312	127.84
2011-12-31	23.4	0.000833333	26.43	1243.32	-2.97241481	129.89
2012-01-31	19.44	0.0025	26.73666667	1300.58	-1.86240973	140.23
2012-02-29	18.43	0.0075	27.04333333	1352.49	2.54066615	147.02
2012-03-31	15.5	0.006666667	27.35	1389.24	-0.226620335	157.77
2012-04-30	17.15	0.006666667	27.67333333	1386.43	-0.363416111	153.83
2012-05-31	24.06	0.0075	27.99666667	1341.27	-2.689969605	139.49
2012-06-30	17.08	0.0075	28.32	1323.48	-2.069342496	146.3
2012-07-31	18.93	0.008333333	28.74333333	1359.78	-2.097121442	146.35
2012-08-31	17.47	0.008333333	29.16666667	1403.45	1.042515068	150.76
2012-09-30	15.73	0.009166667	29.59	1443.42	3.861034983	155.72
2012-10-31	18.6	0.008333333	30.14333333	1437.82	0.69072565	158.53
2012-11-30	15.87	0.0075	30.69666667	1394.51	-1.05595807	156.84
2012-12-31	18.02	0.005833333	31.25	1422.29	2.196774947	163.99
2013-01-31	14.28	0.005833333	31.53666667	1480.4	1.410168458	173.46
2013-02-28	15.51	0.008333333	31.82333333	1512.31	0.323211064	175.43
2013-03-31	12.7	0.0075	32.11	1550.83	-2.951974226	181.91
2013-04-30	13.52	0.005	32.49666667	1570.7	0.555855786	186.79
2013-05-31	16.3	0.003333333	32.88333333	1639.84	-0.322456814	197.76
2013-06-30	16.86	0.004166667	33.27	1618.77	1.648309328	194.25
2013-07-31	13.45	0.003333333	33.64666667	1668.68	-0.825945291	204.5
2013-08-31	17.01	0.003333333	34.02333333	1670.09	1.726772616	193.83
2013-09-30	16.6	0.001666667	34.4	1687.17	0.37554454	198.93
2013-10-31	13.75	0.004166667	34.59666667	1720.03	2.110146663	205.19
2013-11-30	13.7	0.005833333	34.79333333	1783.54	-1.135863989	214.16
2013-12-31	13.72	0.005833333	34.99	1807.78	1.608479727	218.45
2014-01-31	18.41	0.003333333	35.40333333	1822.36	-0.656550919	210.31
2014-02-28	14	0.004166667	35.81666667	1817.04	0.345131444	216.5
2014-03-31	13.88	0.004166667	36.23	1863.52	1.192828394	223.16
2014-04-30	13.41	0.0025	36.61333333	1864.26	-0.130170668	219.5
2014-05-31	11.4	0.0025	36.99666667	1889.77	-0.514120203	222.21
2014-06-30	11.57	0.003333333	37.38	1947.09	-1.048111216	227.27
2014-07-31	16.95	0.0025	37.75	1973.1	-0.456050018	223.74
2014-08-31	11.98	0.0025	38.12	1961.53	-1.610877115	232.75
2014-09-30	16.31	0.001666667	38.49	1993.23	-3.199399174	231.48
2014-10-31	14.03	0.001666667	38.80666667	1937.27	-1.644813407	238.09
2014-11-30	13.33	0.001666667	39.12333333	2044.57	-1.609213536	243.13
2014-12-31	19.2	0.0025	39.44	2054.27	-1.154493706	247.07
2015-01-31	20.97	0.0025	39.89666667	2028.18	-5.791223944	229.79
2015-02-28	13.34	0.001666667	40.35333333	2082.2	-2.281532501	242.77
2015-03-31	15.29	0.0025	40.81	2079.99	-4.678414097	240.87
2015-04-30	14.55	0.001666667	41.12	2094.86	0.027728995	241.05
2015-05-31	13.84	0.001666667	41.43	2111.94	3.187950471	245
2015-06-30	18.23	0.001666667	41.74	2099.29	0.528342438	243.83
2015-07-31	12.12	0.0025	41.99666667	2094.14	-2.039907358	251.16
2015-08-31	28.43	0.005833333	42.25333333	2039.87	1.263981086	233.72
2015-09-30	24.5	0.001666667	42.51	1944.41	0.83512931	226.32
2015-10-31	15.07	0.001666667	42.80333333	2024.81	-0.008905513	240.14
2015-11-30	16.13	0.01	43.09666667	2080.62	-4.462059138	244.22
2015-12-31	18.21	0.019166667	43.39	2054.08	1.510207887	238.48
2016-01-31	20.2	0.021666667	43.55333333	1918.6	-0.312241712	217.11
2016-02-29	20.55	0.025833333	43.71666667	1904.42	2.183325656	210.23
2016-03-31	13.95	0.024166667	43.88	2021.95	0.37865128	225.12
2016-04-30	15.7	0.019166667	44.07333333	2075.54	1.9040776	232.48
2016-05-31	14.19	0.0225	44.26666667	2065.55	-0.29966508	236.71
2016-06-30	15.63	0.0225	44.46	2083.89	-0.707213579	228.59
2016-07-31	11.87	0.025	44.65	2148.9	-1.575854701	236.38
2016-08-31	13.42	0.025	44.84	2170.95	1.374943464	244.82
2016-09-30	13.29	0.024166667	45.03	2157.69	0.09815294	237.8
2016-10-31	17.06	0.0275	45.25	2143.02	-1.818505973	242.94
2016-11-30	13.33	0.0375	45.48	2164.99	-2.015616488	276.14
2016-12-31	14.04	0.0425	45.7	2246.63	-2.288732394	286.51
2017-01-31	11.99	0.0425	45.93	2275.12	0.853485064	286.86
2017-02-28	12.92	0.043333333	46.15	2329.91	0.141043724	301.23
2017-03-31	12.37	0.061666667	46.38	2366.82	0.384976526	292.48
2017-04-30	10.82	0.066666667	46.66	2359.31	0.215134225	289.65
2017-05-31	10.41	0.074166667	46.94	2395.35	3.136083629	285.57
2017-06-30	11.18	0.081666667	47.22	2433.99	1.656108597	303.61
2017-07-31	10.26	0.089166667	47.54	2454.1	2.643995371	308.48
2017-08-31	10.59	0.084166667	47.85	2456.22	2.454466609	302.76
2017-09-30	9.51	0.085833333	48.17	2492.84	0.846525015	318.05
2017-10-31	10.18	0.089166667	48.42	2557	-1.326282213	327.01
2017-11-30	11.28	0.1025	48.68	2593.61	-0.102084219	337.72
2017-12-31	11.04	0.11	48.93	2664.34	0.791961168	343.89
