date	nodur	durbl	manuf	enrgy	hitec	telcm	shops	hlth 	utils	other	mktrf	smb	hml	rf	dol	gold	silver	mkt
1990-02-27	0.45	0.39	0.68	0.04	0.35	1.36	0.89	0.41	0.26	0.51	0.54	-0.1	-0.08	0.03	-0.188055423	-0.172515774	-1.325294746	0.57
1990-02-28	0.29	-0.03	0.94	-0.57	1.11	0.82	0.83	0.26	0.56	0.62	0.53	0.15	-0.12	0.03	0.186045212	-0.490252829	0.89001267	0.56
1990-03-01	-0.37	0.23	0.38	-0.1	0.16	0.63	0.7	0.79	0	0.36	0.26	-0.04	-0.09	0.029	0.609880384	0.04632519	0.500966037	0.289
1990-03-02	0.49	1.81	0.78	0.68	1.09	1.12	1.05	0.96	0.39	0.75	0.8	-0.12	-0.26	0.029	0.380983862	-0.812721738	-0.591752471	0.829
1990-03-05	-0.21	-0.48	-0.36	-0.57	0.27	-0.39	-0.05	-0.73	-0.4	-0.45	-0.37	0.56	-0.14	0.029	-0.380706346	0.311144336	-0.127519017	-0.341
1990-03-06	1.86	0.82	0.95	1.3	0.95	1.5	1.13	1.32	0.65	0.8	1.07	-0.47	-0.4	0.029	-0.171780633	-0.101339081	-0.016908838	1.099
1990-03-07	0.07	-0.73	0.12	-0.27	0.06	-0.54	-0.27	-0.18	-0.53	-0.26	-0.22	0.65	-0.26	0.029	0.396704596	-0.918294648	0.098763062	-0.191
1990-03-08	0.77	1.32	1.06	-0.01	1.55	1.17	1.68	0.71	0.44	0.61	0.84	-0.2	-0.52	0.029	-0.296937954	-0.07752478	-0.209825445	0.869
1990-03-09	-0.7	0.24	-0.51	-1.11	-0.23	-0.56	-0.19	-0.43	-0.47	-0.47	-0.53	0.47	0.04	0.029	0.302730874	-0.052581802	-0.36524386	-0.501
1990-03-12	0.56	0.94	0.12	0.01	0.41	0.12	0.26	0.08	-0.01	0.14	0.15	-0.21	-0.04	0.029	0.375117158	-0.042677594	-1.005718626	0.179
1990-03-13	-0.63	0.26	-0.62	-0.88	-0.6	-0.68	-0.54	-1.65	-0.62	-0.48	-0.69	0.48	0.27	0.029	0.175410891	-0.076610284	0.315472459	-0.661
1990-03-14	0.41	-0.25	0.47	0.64	0.14	-0.39	0.41	0.38	0.16	0.17	0.23	0.17	-0.35	0.029	-0.257841579	-0.249103878	0.41195229	0.259
1990-03-15	0.29	0.72	0.28	0.28	0.72	0.23	0.39	1.03	0.07	-0.13	0.25	0.05	-0.17	0.029	-0.090058841	-0.002650949	-0.075317499	0.279
1990-03-16	1.06	0.56	1.28	1.02	2	1.22	1.04	1	0.2	0.24	0.9	-0.41	-0.6	0.029	-0.187712079	0.367035338	0.255489819	0.929
1990-03-19	0.85	-0.32	0.77	-0.19	1.46	0.29	0.46	0.52	-0.2	0.13	0.38	-0.24	-0.74	0.029	0.153707052	0.312683476	0.202965455	0.409
1990-03-20	-0.08	0.1	-0.32	-0.99	-0.93	-0.7	-0.55	-0.87	-0.31	-0.57	-0.55	0.34	0.2	0.029	0.209549198	-2.135785687	-1.12919391	-0.521
1990-03-21	-0.28	-0.89	-0.34	-0.7	-0.61	-0.25	-0.39	-0.46	0	-0.57	-0.45	0.44	-0.03	0.029	0.310857874	-0.178478764	0.218419257	-0.421
1990-03-22	-1.19	-0.52	-1.21	-0.83	-1.41	-1.1	-1.53	-1.13	-0.96	-1.34	-1.22	0.32	0.36	0.029	0.059591041	0.573617554	0.549915322	-1.191
1990-03-23	0.92	-0.2	0.48	0.21	0.11	0.63	0.69	0.88	0.14	0.44	0.44	0.09	-0.36	0.029	-0.172014171	-1.310905578	-0.799541367	0.469
1990-03-26	0.16	1.08	0.31	-0.28	0	0.58	0.38	0.27	0.1	0	0.17	0.05	-0.12	0.029	0.439608795	-6.041455395	-1.73722088	0.199
1990-03-27	0.95	0.66	0.83	1.07	0.5	1.34	0.9	1.39	0.45	0.49	0.8	-0.71	-0.31	0.029	0.059081115	0.799992976	-0.037639543	0.829
1990-03-28	0.26	-0.07	0.04	0.1	-0.73	0.53	0.11	0.41	0.07	0.23	0.09	-0.31	0.55	0.029	0.197241773	-0.004340455	-0.761501502	0.119
1990-03-29	-0.44	-1.3	-0.31	-0.04	-0.24	-0.41	-0.45	-0.15	-0.25	-0.32	-0.35	0.17	0.12	0.029	-0.670919571	0.502142265	0.585762504	-0.321
1990-03-30	-0.15	-1.08	-0.35	0.22	-0.23	-0.14	0	-0.36	0.35	-0.18	-0.18	0.37	0.02	0.029	-0.167937478	-0.243917301	-0.037869669	-0.151
1990-04-02	0.01	-0.53	-0.46	0.1	-0.31	-0.41	-0.42	-0.3	-0.37	-0.72	-0.42	-0.4	-0.06	0.034	0.549786971	-0.067324461	0.025946511	-0.386
1990-04-03	1.92	0.71	1.24	1.45	1.44	1.51	1.37	1.53	0.69	0.95	1.25	-0.67	-0.5	0.034	-0.1639289	1.505981035	1.219839957	1.284
1990-04-04	-0.49	-0.15	-0.66	-1.14	-0.56	-0.75	-0.35	-0.45	-0.41	-0.56	-0.64	0.2	0.07	0.034	-0.124731437	0.468183701	2.993842683	-0.606
1990-04-05	0.57	-0.49	-0.06	-0.17	-0.79	0.31	0.31	0.41	-0.33	-0.54	-0.15	0.18	-0.41	0.034	-0.138094403	-0.634804096	-0.40269508	-0.116
1990-04-06	0.18	0.08	-0.13	-0.33	-1	-0.07	0.14	0.08	-0.12	-0.65	-0.29	-0.08	-0.23	0.034	-0.134476436	1.565220345	0.446738748	-0.256
1990-04-09	0.93	0.22	0	-0.31	-0.12	0.43	0.18	0.79	-0.17	0.46	0.21	-0.75	-0.23	0.034	-0.183922464	-1.187774227	-1.131659895	0.244
1990-04-10	0.28	-0.3	0.29	-0.79	0.95	0.27	0.15	0.26	-0.38	0.44	0.17	0.05	-0.24	0.034	0.184155221	-0.267531883	-0.269022892	0.204
1990-04-11	0.09	-0.19	0.07	-1.5	0.58	-0.07	0.53	0.31	-0.07	0.27	0.01	0.12	-0.3	0.034	-0.322076546	-0.215524286	0.685796824	0.044
1990-04-16	-0.12	0.25	0.09	0.18	1.18	0.23	0.02	-0.43	0.14	-0.02	0.08	-0.08	-0.07	0.034	0.288588793	-0.123283327	-0.569248759	0.114
1990-04-17	-0.08	-0.09	0.09	0.3	-0.35	-0.28	-0.3	0.1	-0.11	0.02	-0.08	-0.06	0.03	0.034	0.112582676	-0.004511474	0.659495411	-0.046
1990-04-18	-1.29	0.17	-1.1	-0.93	-1.24	-1.69	-1.35	-0.61	-0.62	-0.87	-1.07	0.46	0.2	0.034	-0.428560245	0.259152288	-0.557571081	-1.036
1990-04-19	-1.34	0.47	-0.82	-0.04	-1.01	-0.76	-0.89	-0.83	-0.42	-0.69	-0.75	0.39	0.32	0.034	-0.445279306	0.284829516	0.002485851	-0.716
1990-04-20	-0.95	-0.76	-0.85	-0.26	-0.21	-1.25	-1.11	-0.78	-1.15	-0.99	-0.89	0.31	-0.23	0.034	0.553032179	-0.188394322	0.640020142	-0.856
1990-04-23	-0.47	-0.95	-1.22	-1.24	-0.9	-1.32	-1.31	-1.33	-0.95	-1.26	-1.17	0.06	0.24	0.034	0.083528091	0.642152608	-0.089297466	-1.136
1990-04-24	0.08	-0.49	-0.28	-0.17	-0.57	-0.47	-0.24	-0.16	-0.2	-0.27	-0.28	0.16	-0.02	0.034	0.08261001	-0.792794825	-1.92582394	-0.246
1990-04-25	0.54	-0.62	0.57	0.57	0.55	0.54	0.74	0.48	0.15	0.48	0.45	-0.25	-0.18	0.034	-0.216579569	-1.413118238	-1.54411594	0.484
1990-04-26	0.23	-0.01	0.39	0.21	-0.15	0.23	-0.25	0.93	-0.25	0.09	0.15	-0.02	-0.36	0.034	0.01284883	-0.058693187	-0.178317096	0.184
1990-04-27	-1.65	-1.37	-1.06	-0.86	-1.19	-1.19	-0.87	-1.09	-1.02	-0.76	-1.08	0.51	0.32	0.034	-0.009555753	0.208928233	0.121641711	-1.046
1990-04-30	0.82	-0.42	0.35	0.47	1.22	0.81	0.75	0.5	-0.26	0.26	0.45	-0.31	-0.65	0.034	0.038863776	-0.631947123	0.364990433	0.484
1990-05-01	0.65	0.42	0.3	0.45	-0.17	0.62	0.44	0.68	0.65	0.43	0.42	-0.18	-0.08	0.031	0.028234285	0.371173245	1.604065116	0.451
1990-05-02	0.53	1.16	0.49	0.74	0.98	0.02	0.88	0.67	0.28	0.69	0.55	-0.37	-0.13	0.031	-0.046690146	-0.166136163	-0.568551837	0.581
1990-05-03	0.13	0.41	0.42	0.56	0.59	0.26	-0.01	0.22	0.59	0.28	0.31	-0.02	0.06	0.031	-0.065502902	0.477640649	0.17957998	0.341
1990-05-07	0.47	0.52	0.69	0.26	0.75	0.39	0.64	0.77	0.87	0.52	0.56	-0.35	-0.15	0.031	-0.43463892	0.307445538	0.361760916	0.591
1990-05-08	0.5	0.76	0.47	0.44	0.13	0.54	0.16	0.66	0.51	0.23	0.37	-0.47	0.12	0.031	0.03158651	-0.512525853	-0.569028102	0.401
1990-05-09	0	-0.47	0.21	0.15	0.17	0.27	0.2	0.16	0.53	0	0.11	-0.16	0.14	0.031	-0.650690723	0.475731196	0.711616484	0.141
1990-05-10	0.09	0.03	0.12	0.59	0.8	0.48	0.71	0.7	0.47	0.33	0.39	-0.06	-0.07	0.031	0.077896136	-0.472830123	1.134904725	0.421
1990-05-11	2.3	2.34	1.85	2.17	1.54	2.9	2.43	2.05	1.77	1.76	2.01	-1.17	-0.09	0.031	-0.616547635	-0.351099466	-0.855239336	2.041
1990-05-14	0.56	1.22	0.88	0.86	0.88	1.32	0.82	0.8	0.25	0.86	0.79	-0.38	-0.15	0.031	0.148837411	-0.09443764	0.456504081	0.821
1990-05-15	-0.07	0.24	-0.11	-0.32	0.4	-0.45	-0.4	-0.14	-0.15	0.31	-0.08	-0.01	-0.06	0.031	-0.066087705	0.686867102	-1.056860452	-0.049
1990-05-16	-0.26	0.24	-0.23	-0.07	-0.13	0.43	-0.24	0.01	0	-0.11	-0.11	0.12	0.03	0.031	-0.178154338	-0.509814157	-0.076828852	-0.079
1990-05-17	0.02	0.11	0.25	-0.05	0.39	0.07	0.71	0.42	-0.07	0.23	0.19	0.46	-0.28	0.031	0.136835988	0.12839907	0.317541865	0.221
1990-05-18	-0.08	-0.63	-0.01	-0.09	0.17	0.47	0.63	0.03	-0.29	0.23	0.09	0.26	-0.51	0.031	0.210604049	1.370632731	1.874222227	0.121
1990-05-21	1.38	1.21	0.8	0.4	1.36	0.81	1.5	1.73	-0.02	0.88	0.94	-0.15	-0.68	0.031	0.451549954	-0.330277431	0.257552479	0.971
1990-05-22	0.64	-0.25	0.21	-0.28	0.6	-0.22	0.2	0.76	-0.33	0.15	0.15	0.18	-0.57	0.031	-0.003657259	0.547580174	2.872834168	0.181
1990-05-23	0.89	-0.12	0.1	-0.57	1.39	0.16	0.36	0.56	-0.26	0.07	0.22	0.15	-0.57	0.031	-0.243862035	-3.177227361	-1.05239737	0.251
1990-05-24	-0.11	-0.67	0.3	-0.95	0.16	-0.3	0.02	0.21	-0.32	0.17	-0.08	0.33	-0.32	0.031	0.265162176	0.615693169	-0.035339192	-0.049
1990-05-29	1.51	1.11	1.38	1.8	2.19	1.71	1.6	1.38	0.67	0.89	1.34	-0.95	-0.38	0.031	-0.075506378	-0.208443521	-1.484006708	1.371
1990-05-30	0.04	-0.4	-0.08	0.29	0.26	0.21	0.09	0.07	-0.14	0.25	0.07	0.09	-0.04	0.031	0.196896718	-0.788004801	-1.790275842	0.101
1990-05-31	0.36	-0.62	0.12	0.08	-0.5	-0.01	0.32	0.32	-0.25	0.42	0.07	0.05	-0.19	0.031	0.622927436	-0.05964274	0.512027279	0.101
1990-06-01	1.04	1.48	0.46	-0.31	-0.04	0.56	0.92	0.53	0.36	0.86	0.53	-0.06	0.1	0.03	-0.400329772	-1.371249169	-0.566994118	0.56
1990-06-04	1.38	1.43	0.89	0.97	0.91	0.71	1.53	0.75	1.42	1.48	1.11	-0.64	0.26	0.03	0.175545907	-0.237351361	0.105004025	1.14
1990-06-05	0.14	-0.93	-0.24	-0.51	-0.64	-0.22	-0.53	-0.13	0.16	0.42	-0.17	0.11	0.34	0.03	0.061059757	0.352372587	0.296962882	-0.14
1990-06-06	-0.56	-0.38	-0.11	-1.24	-0.04	-0.11	-0.48	-0.37	-0.03	-0.24	-0.36	0.3	0.18	0.03	-0.198296303	-0.695587812	-0.627691603	-0.33
1990-06-07	-0.36	-0.44	-0.24	-0.34	-0.25	-0.6	-0.35	-0.92	-0.34	-0.53	-0.47	0.39	0.02	0.03	-0.021921482	-0.784508875	-0.433282538	-0.44
1990-06-08	-1.04	-0.92	-1.01	-0.79	-1.02	-1.19	-1.18	-1.39	-0.65	-1.19	-1.1	0.61	0.16	0.03	0.467760831	0.328497842	-0.116634162	-1.07
1990-06-11	0.69	0.62	0.79	0.99	0.74	0.54	0.96	1.01	0.4	0.4	0.67	-0.5	-0.03	0.03	-0.027280255	0.203780395	0.104191764	0.7
1990-06-12	1.25	1.53	1.13	1.34	0.96	1.03	1.61	1.77	0.56	0.78	1.1	-0.65	-0.67	0.03	-0.106903574	-0.145346818	0.131603606	1.13
1990-06-13	-0.42	-0.65	-0.2	-0.7	0.22	-0.02	0.08	0	-0.2	-0.49	-0.26	0.78	-0.49	0.03	0.027531152	-1.098311082	-2.127634856	-0.23
1990-06-14	-0.44	-0.37	-0.12	-0.24	-0.29	-1.51	-0.2	-0.27	-0.38	-0.94	-0.53	0.3	-0.16	0.03	-0.107631098	-1.481876329	-3.015051438	-0.5
1990-06-15	-0.3	-0.19	0.23	0.23	-0.2	-0.35	-0.16	0.14	-0.2	-0.13	-0.1	0.23	-0.32	0.03	0.042133928	0.733540063	0.860774414	-0.07
1990-06-18	-1.6	-1.54	-1.41	-1.41	-1.67	-1.56	-1.36	-1.3	-1.03	-1.53	-1.47	0.22	0.29	0.03	-0.475602085	0.339147991	0.504320809	-1.44
1990-06-19	0.93	0.49	0.21	0.25	0.23	0.18	0.47	0.06	0.28	0.31	0.29	-0.44	-0.06	0.03	-0.212879363	-0.055244081	0.147867204	0.32
1990-06-20	-0.05	-0.01	0.01	0.76	-0.04	0.32	-0.34	0.9	-0.15	-0.19	0.06	-0.1	-0.12	0.03	0.181500737	0.390487365	0.306506533	0.09
1990-06-21	0.63	-0.12	0.22	0.01	0.36	0	0.37	1.47	0.15	0.09	0.26	-0.22	-0.47	0.03	0.190973718	0.021672194	-0.181696877	0.29
1990-06-22	-0.75	-1.3	-1.04	-1.28	-1.49	-1.82	-1.11	-0.82	-0.53	-0.79	-1.07	1.08	0.01	0.03	-0.00483781	-0.063314698	-0.243240287	-1.04
1990-06-25	-0.43	-0.69	-0.96	-0.71	-0.43	-0.97	-1.05	-0.75	-0.69	-1.08	-0.86	0.3	-0.07	0.03	0.126326699	1.024058199	0.126345003	-0.83
1990-06-26	0.56	-1.21	-0.38	-0.38	-0.36	0.03	-0.12	0.38	0.3	-0.24	-0.15	-0.01	-0.05	0.03	-0.327390763	-0.90884288	0.082857728	-0.12
1990-06-27	0.67	0.45	0.28	1.01	0.72	-0.07	1.14	1.79	0.7	0.59	0.64	-0.58	-0.14	0.03	-0.365524953	0.106626034	-0.591625978	0.67
1990-06-28	1.03	0.19	0.64	0.44	0.85	0.11	0.94	1.82	0.17	0.55	0.66	0.02	-0.73	0.03	-0.114071196	0.276158681	0.369764524	0.69
1990-06-29	-0.26	0.44	0.31	-0.13	0.37	0.13	0.59	-0.23	0.51	0.27	0.17	0.26	-0.01	0.03	-0.31359398	1.646062871	1.462289653	0.2
1990-07-02	0.14	0.76	0.6	-0.26	0.55	0.76	0.38	0.6	-0.09	0.1	0.3	-0.42	-0.13	0.032	-0.604077059	0.315159512	1.007823855	0.332
1990-07-03	0.6	0.36	0.38	-0.16	-0.58	0.1	0.26	0.61	-0.1	0.12	0.13	-0.16	-0.35	0.032	-0.219589095	0.93212352	-0.378061254	0.162
1990-07-05	-1.14	-1.81	-1.02	-0.82	-0.72	-1.61	-1	-0.66	-0.81	-1.01	-1.04	0.48	0.02	0.032	-0.107627423	-0.176233751	-1.023930331	-1.008
1990-07-06	1.43	0.8	0.64	0.46	0.55	0.26	0.54	0.97	0.26	0.57	0.61	-0.41	-0.25	0.032	0.102153443	-0.088359477	-0.059231374	0.642
1990-07-09	0.13	1.07	0.24	-0.21	0.68	-0.15	1.3	0.03	-0.25	0.23	0.22	-0.33	-0.14	0.032	-0.320600908	-0.760876975	-1.322679845	0.252
1990-07-10	-0.87	-1.29	-0.46	-0.78	-0.6	-1.38	0.01	-0.21	-0.52	-0.73	-0.67	0.47	-0.25	0.032	-0.553409267	-0.751666695	0.226987579	-0.638
1990-07-11	1.3	0.23	1.45	2.17	1.03	-0.37	1.29	1.85	0.35	0.77	1.04	-0.4	-0.54	0.032	0.242235057	-0.409708356	0.471814846	1.072
1990-07-12	0.82	1.22	1.33	3.23	0.43	0.86	0.85	0.72	0.54	0.75	1.02	-0.41	-0.54	0.032	0.118455734	1.113424235	1.057546661	1.052
1990-07-13	0.11	0.35	0.52	0.26	0.37	0.51	0.88	0.45	0.08	0.7	0.42	-0.13	-0.11	0.032	-0.530053809	1.744564981	0.364601261	0.452
1990-07-16	0.39	0.38	0.3	0.03	0.75	0.29	0.87	0.78	-0.17	0.45	0.37	-0.29	-0.45	0.032	0.365136744	-0.281795678	-1.19060162	0.402
1990-07-17	0.38	-0.22	-0.17	-0.04	-1.04	-1.83	-1.03	-0.25	-0.22	-0.25	-0.45	-0.29	0.49	0.032	-0.219828437	-0.353766945	-0.694347975	-0.418
1990-07-18	-0.72	-0.62	-0.71	-0.77	-0.91	-0.91	-1.79	-0.88	-0.69	-0.92	-0.92	0.26	0.43	0.032	-0.351682785	-0.13948294	1.388580895	-0.888
1990-07-19	0.13	0.47	0.13	2.29	-0.78	0.59	-0.5	0.18	0.01	-0.29	0.12	-0.65	0.06	0.032	0.211333039	-0.112824751	-0.689681105	0.152
1990-07-20	-0.69	-0.94	-0.68	-0.95	-2.7	-0.52	-0.99	-0.1	-0.36	-0.74	-0.87	0.62	-0.03	0.032	0.19086081	-0.032043079	-0.080172957	-0.838
1990-07-23	-2.19	-1.69	-1.99	-0.92	-2.16	-1.49	-2.96	-2.33	-0.98	-1.69	-1.89	-0.48	0.76	0.032	-0.43002678	2.172933418	0.735868888	-1.858
1990-07-24	0.38	-0.82	-0.13	2.83	-0.86	-0.57	-0.17	-0.11	0.28	-0.47	0	0.05	0.12	0.032	-0.284151721	-0.322593988	-1.470696033	0.032
1990-07-25	0.4	0.08	0.38	-0.61	0.8	0.15	0.53	1.13	0.71	0.35	0.35	0.04	-0.14	0.032	0.084643114	1.076021436	0.329809134	0.382
1990-07-26	-0.55	-0.81	0.2	-1.01	-0.83	0.04	-0.33	-0.11	0.14	0.06	-0.25	0.36	-0.03	0.032	0.380071791	-0.742136751	0.431118371	-0.218
1990-07-27	-0.84	-0.03	-0.62	0.33	-1.05	-0.7	-1.31	-0.92	0.23	-0.9	-0.68	-0.03	0.49	0.032	-0.457791309	-0.428905409	-0.388369714	-0.648
1990-07-30	0.07	0.01	0.31	1.41	-0.12	0.71	-0.14	0.27	1.38	-0.31	0.26	-1.21	0.31	0.032	-0.437986242	0.116091213	-0.554786872	0.292
1990-07-31	-0.02	-0.91	-0.4	1.59	-0.3	0.78	-0.73	0.57	1.13	-0.36	0.07	-0.38	0.23	0.032	-0.915573121	0.655807935	-0.351512217	0.102
1990-08-01	0.07	-1.36	-0.12	0.35	-0.36	0.57	-0.9	0.17	0.79	-0.95	-0.2	-0.31	-0.09	0.028	0.355588226	0.861165239	0.702874118	-0.172
1990-08-02	-1.92	-2.64	-1.61	2.98	-1.83	-1.04	-2.01	-2.39	-0.61	-1.4	-1.21	-0.06	0.46	0.028	0.526998714	0.931927014	0.226744059	-1.182
1990-08-03	-1.68	-1.29	-1.93	-0.89	-2.37	-1.53	-1.69	-2.66	-1.24	-2.12	-1.84	-0.71	0.64	0.028	-0.071522285	0.150456751	0.123695376	-1.812
1990-08-06	-4.29	-3.76	-4.18	1.48	-4.01	-3.76	-4.4	-4.27	-1.94	-3.5	-3.32	-0.14	1.37	0.028	-0.519131366	1.959714035	1.084356733	-3.292
1990-08-07	0.93	-1.56	0.16	-0.7	-0.05	0.19	-0.26	1.04	0	0.64	0.17	-0.03	-0.8	0.028	0.064864695	-0.004347271	-0.631379691	0.198
1990-08-08	1.99	1.08	1.18	-2.01	1.26	1.5	2.28	2.5	0.62	1.36	1.11	0	-0.73	0.028	0.394890133	-0.360630286	-0.346188365	1.138
